site,tomst_id
PAL001,94214264
PAL002,94214334
PAL003,94214262
PAL004,94214166
PAL005,95223086
PAL006,94214333
PAL007,94214152
PAL008,94214154
PAL009,94214255
PAL010,94214342
PAL011,94214172
PAL012,94214153
PAL013,94214344
PAL014,94214151
PAL015,94214331
PAL016,94214332
PAL017,94214252
PAL018,94214171
PAL019,94214155
PAL020,94214265
PAL021,94214173
PAL022,94214343
PAL023,94214192
PAL024,94214338
PAL025,94214303
PAL026,94214257
PAL027,94214195
PAL028,94214194
PAL029,94214256
PAL030,94214193
PAL031,94214191
PAL032,94214263
PAL033,94214335
PAL034,94214261
PAL035,94214169
PAL036,94214170
PAL037,94214168
PAL038,94214312
PAL039,94214340
PAL040,94214339
PAL041,94214329
PAL042,94214327
PAL043,94214326
PAL044,94214309
PAL045,94234694
PAL046,94214313
PAL047,94214330
PAL048,94214311
PAL049,94214314
PAL050,94214237
PAL051,94214341
PAL052,94214266
PAL053,94214345
PAL054,94214328
PAL055,94214272
PAL056,94214275
PAL057,94214285
PAL058,94214282
PAL059,94214273
PAL060,94214284
PAL061,94214274
PAL062,94214283
PAL063,94214271
PAL064,94214281
PAL065,94214175
PAL066,94214251
PAL067,94214176
PAL068,94214178
PAL069,94214180
PAL070,94214236
PAL071,94214179
PAL072,94214174
PAL073,94214238
PAL074,94214177
PAL075,94214253
PAL076,94214239
PAL077,94214240
PAL078,94214254
PAL079,94214267
PAL080,94214268
PAL081,94214270
PAL082,94214269
PAL083,94214301
PAL084,94214307
PAL085,94214336
PAL086,94214337
PAL087,94214302
PAL088,94214305
PAL089,94214308
PAL090,94214315
PAL091,95253601
PAL092,95253602
PAL093,95253603
PAL094,95253604
PAL095,95253605
PAL096,95253606
PAL097,95253607
PAL098,95253608
PAL099,95253609
PAL100,95253610
PAL101,95253611
PAL102,95253612
PAL103,95253613
PAL104,95253614
PAL105,95253615
PAL106,95253616
PAL107,95253617
PAL108,95253569
PAL109,95253570
PAL110,95253618
PAL111,95253619
PAL112,95253620
PAL113,95253621
PAL114,95253622
PAL115,95253623
PAL116,95253624
PAL117,95253625
PAL118,95253565
PAL119,95253566
PAL120,95253567
PAL121,95253568
PAL122,95253626
PAL123,95253627
PAL124,95253628
PAL125,95253629
PAL126,95253630
PAL127,95253631
PAL128,95253632
PAL129,95253633
PAL130,95253634
PAL131,95253635
PAL132,95253646
PAL133,95253647
PAL134,95253648
PAL135,95253649
PAL136,95253650
PAL137,95253641
PAL138,95253642
PAL139,95253643
PAL140,95253644
PAL141,95253645
PAL142,95253551
PAL143,95253552
PAL144,95253553
PAL145,95253554
PAL146,95253555
PAL147,95253556
PAL148,95253557
PAL149,95253558
PAL150,95253559
PAL151,95253560
PAL152,95253561
PAL153,95253562
PAL154,95253563
PAL155,95253564
PAL156,95253636
PAL157,95253637
PAL158,95253638
PAL159,95253639
PAL160,95253640
PAL161,95253546
PAL162,95253547
PAL163,95253548
PAL164,95253549
PAL165,95253550
PAL166,95253501
PAL167,95253502
PAL168,95253503
PAL169,95253504
PAL170,95253505
PAL171,95253506
PAL172,95253507
PAL173,95253508
PAL174,95253509
PAL175,95253510
PAL176,95253511
PAL177,95253512
PAL178,95253513
PAL179,95253514
PAL180,95253515
PAL181,95253516
PAL182,95253517
PAL183,95253518
PAL184,95253519
PAL185,95253520
PAL186,95253521
PAL187,95253522
PAL188,95253523
PAL189,95253524
PAL190,95253525
PAL191,95253651
PAL192,95253652
PAL193,95253653
