site,tomst_id,start_date,end_date,probl
PIS001,94194387,2019-06-11,2019-09-14,2
PIS002,94194265,2019-06-10,2019-09-14,2
PIS004,94194242,2019-06-10,2019-09-14,2
PIS005,94194245,2019-06-10,2019-09-14,2
PIS006,94194246,2019-06-10,2019-09-14,2
PIS007,94194250,2019-06-10,2019-09-14,2
PIS008,94194276,2019-06-10,2019-09-14,2
PIS009,94194277,2019-06-10,2019-09-14,2
PIS010,94194412,2019-06-12,2019-09-14,2
PIS011,94194271,2019-06-10,2019-09-14,2
PIS012,94194275,2019-06-10,2019-09-14,2
PIS013,94194272,2019-06-10,2019-09-14,2
PIS014,94194259,2019-06-10,2019-09-14,2
PIS015,94194249,2019-06-10,2019-09-14,2
PIS016,94194266,2019-06-10,2019-09-14,2
PIS017,94194269,2019-06-10,2019-09-14,2
PIS018,94194241,2019-06-10,2019-09-14,2
PIS019,94194381,2019-06-11,2019-09-14,2
PIS021,94194263,2019-06-10,2019-09-14,2
PIS022,94194416,2019-06-12,2019-09-14,2
PIS023,94194386,2019-06-11,2019-09-14,2
PIS024,94194414,2019-06-12,2019-09-14,2
PIS025,94194268,2019-06-10,2019-09-14,2
PIS026,94194280,2019-06-10,2019-09-14,2
PIS027,94194417,2019-06-12,2019-09-14,2
PIS028,94194270,2019-06-10,2019-09-14,2
PIS029,94194388,2019-06-11,2019-09-14,2
PIS030,94194420,2019-06-12,2019-09-14,2
PIS031,94194274,2019-06-10,2019-09-14,2
PIS032,94194415,2019-06-12,2019-09-14,2
PIS033,94194390,2019-06-11,2019-09-14,2
PIS034,94194382,2019-06-11,2019-09-14,2
PIS035,94194383,2019-06-11,2019-09-14,2
PIS036,94194244,2019-06-10,2019-09-14,2
PIS037,94194393,2019-06-11,2019-09-14,2
PIS038,94194264,2019-06-10,2019-09-14,2
PIS039,94194247,2019-06-10,2019-09-14,2
PIS040,94194257,2019-06-10,2019-09-14,2
PIS041,94194278,2019-06-10,2019-09-14,2
PIS043,94194418,2019-06-12,2019-09-14,2
PIS043,94194418,2022-05-11,2022-10-06,1
PIS044,94194248,2019-06-10,2019-09-14,2
PIS046,94194389,2019-06-11,2019-09-14,2
PIS047,94194279,2019-06-10,2019-09-14,2
PIS048,94194419,2019-06-12,2019-09-14,2
PIS049,94194273,2019-06-10,2019-09-14,2
PIS050,94194411,2019-06-12,2019-09-14,2
PIS051,94194385,2019-06-11,2019-09-14,2
PIS052,94194413,2019-06-12,2019-09-14,2
PIS053,94194384,2019-06-11,2019-09-14,2
PIS101,94204756,2020-05-27,2020-06-26,2
PIS102,94204759,2020-05-27,2020-06-26,2
PIS102,94204759,2021-06-01,2021-10-05,1
PIS103,94204758,2020-05-27,2020-06-26,2
PIS104,94204757,2020-05-27,2020-06-26,2
PIS105,94204760,2020-05-27,2020-06-26,2
PIS106,94204772,2020-05-27,2020-06-26,2
PIS107,94204774,2020-05-27,2020-06-26,2
PIS108,94204773,2020-05-27,2020-06-26,2
PIS109,94204771,2020-05-27,2020-06-26,2
PIS110,94204775,2020-05-27,2020-06-26,2
PIS111,94204770,2020-05-27,2020-06-26,2
PIS112,94204766,2020-05-27,2020-06-26,2
PIS113,94204768,2020-05-27,2020-06-26,2
PIS114,94204769,2020-05-27,2020-06-26,2
PIS115,94204767,2020-05-27,2020-06-26,2
PIS116,94204755,2020-05-27,2020-06-26,2
PIS117,94204754,2020-05-27,2020-06-26,2
PIS118,94204753,2020-05-27,2020-06-26,2
PIS119,94204752,2020-05-27,2020-06-26,2
PIS120,94204751,2020-05-27,2020-06-26,2
PIS025,94194268,2022-10-07,2023-08-08,3
